nombre_canonico,num_variantes_fusionadas,variantes,num_documentos_total,ids_documentos
Sr. López Silva,1,Sr. López Silva,3,1818; 1850; 1853
Presidente,1,Presidente,11,1793; 1811; 1819; 1821; 1827; 1830; 1836; 1845; 1848; 1849; 1853
Otros Abogados Y Miembros Presentes En La Sesión,1,Otros Abogados Y Miembros Presentes En La Sesión,1,1853
Brigada González Mesas,1,Brigada González Mesas,1,1853
Cuartel General De La Dac I,1,Cuartel General De La Dac I,1,1853
Dac,1,Dac,5,1811; 1817; 1819; 1842; 1853
Gral. Armada,1,Gral. Armada,3,1831; 1851; 1853
Estudio Jurídico De La Calle Pintor Gris,1,Estudio Jurídico De La Calle Pintor Gris,1,1853
Aseprosa,1,Aseprosa,1,1853
Consejo De Administración (de Aseprosa),1,Consejo De Administración (de Aseprosa),1,1853
G. Civil,1,G. Civil,1,1853
C/SG/3.464/02-03-82,1,C/SG/3.464/02-03-82,1,1853
D'OR,1,D'OR,1,1853
02-03-82,1,02-03-82,1,1853
letrado Sr. De Miguel,1,letrado Sr. De Miguel,1,1853
C.N. Mendez Vives,1,C.N. Mendez Vives,1,1853
Letrado Sr. Martín Fernández,1,Letrado Sr. Martín Fernández,1,1852
Sr. Sanz López,1,Sr. Sanz López,1,1852
Sr. Zugasti,1,Sr. Zugasti,1,1852
Servicio De Seguridad,1,Servicio De Seguridad,1,1852
Capitán General Milans Del Bosch,1,Capitán General Milans Del Bosch,1,1852
Cadena Ser,1,Cadena Ser,2,1810; 1852
Autoridad Militar,1,Autoridad Militar,4,1792; 1793; 1795; 1852
Tve,1,Tve,4,1700; 1792; 1829; 1852
2ª Región Militar,1,2ª Región Militar,1,1852
3ª Región Militar,1,3ª Región Militar,3,1799; 1845; 1852
C/SG/3644/05-03-82,1,C/SG/3644/05-03-82,1,1852
04.03.82,1,04.03.82,1,1852
Tcol. Tejero,1,Tcol. Tejero,4,1824; 1830; 1845; 1852
Defensor,1,Defensor,3,1813; 1816; 1852
presidente de la Sala,1,presidente de la Sala,1,1852
Tcol. Más Oliver,1,Tcol. Más Oliver,1,1852
Teniente Sr. Grinon,1,Teniente Sr. Grinon,1,1851
Sr. Presidente Del Consejo,1,Sr. Presidente Del Consejo,1,1851
Excmo. Sr. Fiscal Togado,1,Excmo. Sr. Fiscal Togado,1,1851
Teniente De La Gc Ramos -- Rueda,1,Teniente De La Gc Ramos -- Rueda,1,1851
Tte. De La Gc Boza Carranco,1,Tte. De La Gc Boza Carranco,1,1851
Dirección General Del Cuerpo (mencionada Indirectamente En La Instrucción),1,Dirección General Del Cuerpo (mencionada Indirectamente En La Instrucción),1,1851
No Hay Menciones Explícitas De Lugares En El Texto Proporcionado.,1,No Hay Menciones Explícitas De Lugares En El Texto Proporcionado.,5,1697; 1784; 1807; 1849; 1851
Armada,1,Armada,3,1822; 1848; 1851
Presidente Suárez,1,Presidente Suárez,1,1851
2° Jeme,1,2° Jeme,1,1851
Tte. Coronel Santos (em- 3ª Rm),1,Tte. Coronel Santos (em- 3ª Rm),1,1851
C/SG/3835/08-03-82,1,C/SG/3835/08-03-82,1,1851
NOTA INFORMATIVA,1,NOTA INFORMATIVA,4,1814; 1819; 1822; 1851
VISTA ORAL,1,VISTA ORAL,1,1851
CAUSA 2/81,1,CAUSA 2/81,1,1851
CONSEJO SUPREMO DE JUSTICIA MILITAR,1,CONSEJO SUPREMO DE JUSTICIA MILITAR,41,1710; 1711; 1713; 1726; 1727; 1728; 1729; 1730; 1731; 1737; 1740; 1811; 1812; 1814; 1815; 1816; 1817; 1819; 1821; 1822; 1823; 1824; 1825; 1826; 1827; 1829; 1830; 1831; 1832; 1833; 1834; 1838; 1841; 1843; 1844; 1845; 1846; 1847; 1848; 1849; 1851
08-03-82,1,08-03-82,1,1851
Teniente Sr. GRINON,1,Teniente Sr. GRINON,1,1851
Teniente de la GC Ramos -- Rueda,1,Teniente de la GC Ramos -- Rueda,1,1851
Señor Novalbos,1,Señor Novalbos,1,1851
Tte. de la GC BOZA CARRANCO,1,Tte. de la GC BOZA CARRANCO,1,1851
Consejo Supremo De Justicia Militar (implícito A Quienes Dirigen La Vista Oral),1,Consejo Supremo De Justicia Militar (implícito A Quienes Dirigen La Vista Oral),1,1850
"S.m. (su Majestad, El REY)",1,"S.m. (su Majestad, El REY)",1,1850
Iii Región Militar,1,Iii Región Militar,1,1850
Piso General Cabrera,1,Piso General Cabrera,1,1850
Casa Real,1,Casa Real,2,1715; 1850
Presidente Del Consejo De Estado,1,Presidente Del Consejo De Estado,1,1850
Parlamento,1,Parlamento,3,1695; 1700; 1850
N/Ref. SG/3.923/09-03-82,1,N/Ref. SG/3.923/09-03-82,1,1850
09-03-82,1,09-03-82,1,1850
Teniente General Milans del Boch,1,Teniente General Milans del Boch,1,1850
Fiscal Sr. Hermosilla,1,Fiscal Sr. Hermosilla,1,1850
18 Letrados Defensores,1,18 Letrados Defensores,1,1849
Tenientes De La Guardia Civil,1,Tenientes De La Guardia Civil,2,1848; 1849
Hemiciclo,1,Hemiciclo,1,1849
C/SG/4020/11-03-82,1,C/SG/4020/11-03-82,1,1849
VISTA ORAL DEL 2/81,1,VISTA ORAL DEL 2/81,1,1849
Quintana,1,Quintana,1,1849
De Miguel,1,De Miguel,1,1849
Labernia,1,Labernia,1,1849
López Silva,1,López Silva,1,1849
Letrados Defensores,1,Letrados Defensores,1,1848
Presidente (teniente Coronel De Meer),1,Presidente (teniente Coronel De Meer),1,1848
D.a.c.,1,D.a.c.,1,1848
Cámara,1,Cámara,1,1848
Ejército,1,Ejército,10,1700; 1704; 1719; 1778; 1784; 1785; 1804; 1809; 1811; 1848
N/Ref: C/SG/4183/12-03-82,1,N/Ref: C/SG/4183/12-03-82,1,1848
VISTA ORAL 2/81,1,VISTA ORAL 2/81,29,1811; 1812; 1814; 1815; 1816; 1817; 1819; 1821; 1822; 1823; 1824; 1825; 1826; 1827; 1828; 1829; 1830; 1831; 1832; 1833; 1834; 1838; 1841; 1843; 1844; 1845; 1846; 1847; 1848
12-03-82,1,12-03-82,1,1848
General TORRES ROJAS,1,General TORRES ROJAS,2,1821; 1848
Coronel ESCANDELL,1,Coronel ESCANDELL,1,1848
Teniente Coronel DE MEER,1,Teniente Coronel DE MEER,1,1848
Coronel Sanmartín,1,Coronel Sanmartín,1,1847
Capitán General,1,Capitán General,4,1792; 1801; 1811; 1847
Mando Supremo,1,Mando Supremo,1,1847
Alcalá,1,Alcalá,1,1847
Santa María De La Huerta,1,Santa María De La Huerta,1,1847
"General Armada (como Referencia A Un Lugar Relacionado, Alcalá)",1,"General Armada (como Referencia A Un Lugar Relacionado, Alcalá)",1,1847
Dac (como Institución),1,Dac (como Institución),1,1847
"E.m. (estado Mayor, Como Institución)",1,"E.m. (estado Mayor, Como Institución)",1,1847
La Coruña,1,La Coruña,3,1697; 1790; 1847
15-03-82,1,15-03-82,1,1847
Coronel Ibañez Inglés,1,Coronel Ibañez Inglés,1,1847
Sala De Justicia,1,Sala De Justicia,11,1710; 1711; 1713; 1726; 1727; 1731; 1737; 1740; 1825; 1835; 1846
Consejo,1,Consejo,5,1786; 1816; 1825; 1836; 1846
C.j.m. (código De Justicia Militar),1,C.j.m. (código De Justicia Militar),3,1802; 1811; 1846
Reales Ordenanzas,1,Reales Ordenanzas,2,1823; 1846
Jeme (jefe Del Estado Mayor Del Ejército),1,Jeme (jefe Del Estado Mayor Del Ejército),1,1846
General Caruana,1,General Caruana,1,1846
N/Ref. C/SG/4346/16-03-82,1,N/Ref. C/SG/4346/16-03-82,1,1846
16-03-82,1,16-03-82,1,1846
artículo 753 del C.J.M.,1,artículo 753 del C.J.M.,1,1846
Presidente del Tribunal,1,Presidente del Tribunal,1,1846
Cte. Pardos Aldea (lázaro),1,Cte. Pardos Aldea (lázaro),1,1845
Sr. Tent (abad),1,Sr. Tent (abad),1,1845
Parque (de Vehículos Y Personas),1,Parque (de Vehículos Y Personas),1,1845
2ª Cía. (2ª Compañía),1,2ª Cía. (2ª Compañía),1,1845
Calle General Cabrera,1,Calle General Cabrera,3,1843; 1844; 1845
"Dac (no Especificado, Pero Parece Institución O Unidad)",1,"Dac (no Especificado, Pero Parece Institución O Unidad)",1,1845
Palace,1,Palace,1,1845
N/Rfe. C/SG/4487/17.03.82,1,N/Rfe. C/SG/4487/17.03.82,1,1845
17.03.82,1,17.03.82,1,1845
Director,1,Director,1,1844
Cap Muñecas,1,Cap Muñecas,1,1844
"""guerra De Las Vascongadas"" (zona Geográfica)",1,"""guerra De Las Vascongadas"" (zona Geográfica)",1,1844
Calle Pintor Juan Gris,1,Calle Pintor Juan Gris,1,1844
Dirección General Del Cuerpo (dac),1,Dirección General Del Cuerpo (dac),1,1844
Dirección General Del Cuerpo (institución Mencionada Indirectamente),1,Dirección General Del Cuerpo (institución Mencionada Indirectamente),1,1844
"Tejero (mencionado Como Persona, No Lugar)",1,"Tejero (mencionado Como Persona, No Lugar)",1,1844
Castellón (mencionado Como Provincia O Zona),1,Castellón (mencionado Como Provincia O Zona),1,1844
Calle General Cabrera (vía),1,Calle General Cabrera (vía),1,1844
DIRECTOR,1,DIRECTOR,1,1844
C/SG/4548/18.03.82,1,C/SG/4548/18.03.82,1,1844
18.03.82,1,18.03.82,1,1844
Tcol Tejero,1,Tcol Tejero,1,1844
17 defensores,1,17 defensores,1,1844
Tcol D. Pedro Mas Oliver,1,Tcol D. Pedro Mas Oliver,1,1844
Ayudante del Tte. General Milans - del Bosch,1,Ayudante del Tte. General Milans - del Bosch,1,1844
Capitán De La Gc Acera,1,Capitán De La Gc Acera,1,1843
Presidente Del Consejo Supremo De Justicia Militar,1,Presidente Del Consejo Supremo De Justicia Militar,1,1843
Consejero Togado Sr. Barcina,1,Consejero Togado Sr. Barcina,1,1843
Abogados,1,Abogados,1,1843
Operación Galaxia,1,Operación Galaxia,1,1843
Unidad (del CESID),1,Unidad (del CESID),2,1839; 1843
Ayuntamiento De Madrid,1,Ayuntamiento De Madrid,1,1843
Congreso (del Diputados),1,Congreso (del Diputados),1,1843
Trafico (posiblemente Referencia A La Unidad De Tráfico De La Guardia Civil),1,Trafico (posiblemente Referencia A La Unidad De Tráfico De La Guardia Civil),1,1843
Hotel De La Universidad De La República,1,Hotel De La Universidad De La República,1,1843
SG/4.749/23-03-82,1,SG/4.749/23-03-82,1,1843
23-03-82,1,23-03-82,1,1843
Capitán de la GC Acera,1,Capitán de la GC Acera,1,1843
Presidente del Consejo,1,Presidente del Consejo,2,1825; 1843
General/armada,1,General/armada,1,1842
S.m.,1,S.m.,3,1785; 1820; 1842
Policía Militar,1,Policía Militar,1,1842
Subsecretaría De Defensa,1,Subsecretaría De Defensa,2,1709; 1842
La Zarzuela,1,La Zarzuela,5,1819; 1821; 1829; 1831; 1842
Escuela De E.m.,1,Escuela De E.m.,1,1842
Calle Alberto Aguilera,1,Calle Alberto Aguilera,1,1842
A.e.m.,1,A.e.m.,1,1842
N/Ref.C/SG/4659/22-03-82,1,N/Ref.C/SG/4659/22-03-82,1,1842
22-03-82,1,22-03-82,1,1842
abogados defensores,1,abogados defensores,2,1787; 1842
letrados Srs. Escandell,1,letrados Srs. Escandell,1,1842
14 Letrados,1,14 Letrados,1,1841
10 Defensores,1,10 Defensores,1,1841
7 Letrados Defensores,1,7 Letrados Defensores,1,1841
Capitanes De La Guardia Civil Pérez De La Lastra,1,Capitanes De La Guardia Civil Pérez De La Lastra,1,1841
Lázaro Cortaiz,1,Lázaro Cortaiz,1,1841
Capitán De Intendencia Cid Fortea,1,Capitán De Intendencia Cid Fortea,1,1841
Capitán De La Guardia Civil Pérez De La Lastra,1,Capitán De La Guardia Civil Pérez De La Lastra,1,1841
Parque,1,Parque,4,1700; 1814; 1815; 1841
Calle Juan Gris,1,Calle Juan Gris,3,1816; 1822; 1841
Plaza De Neptuno,1,Plaza De Neptuno,3,1745; 1815; 1841
Capitanías (1ª Y 8ª Mencionadas Explícitamente),1,Capitanías (1ª Y 8ª Mencionadas Explícitamente),1,1841
Carrera De San Jerónimo,1,Carrera De San Jerónimo,1,1841
Cuartel General,1,Cuartel General,4,1741; 1827; 1829; 1841
"Dac (dirección De Adiestramiento Y Comando, Implícito Por Contexto Pero No Explícito En El Texto, Por Lo Que No Se Incluye)",1,"Dac (dirección De Adiestramiento Y Comando, Implícito Por Contexto Pero No Explícito En El Texto, Por Lo Que No Se Incluye)",1,1841
Estado Mayor,1,Estado Mayor,2,1699; 1841
N/Ref. C/SG/4.819/24.03.82,1,N/Ref. C/SG/4.819/24.03.82,1,1841
24-03.82,1,24-03.82,1,1841
Capitanes,1,Capitanes,1,1841
Pérez de la Lastra,1,Pérez de la Lastra,1,1841
Capitán de Intendencia Cid Fortea,1,Capitán de Intendencia Cid Fortea,1,1841
Capitanes De La Guardia Civil Abad Gutierrez,1,Capitanes De La Guardia Civil Abad Gutierrez,1,1840
Muñecas Aguilar,1,Muñecas Aguilar,1,1840
Capitán De La Guardia Civil Gómez Iglesias,1,Capitán De La Guardia Civil Gómez Iglesias,2,1814; 1840
Infantería,1,Infantería,2,1814; 1840
Guardia Civil Gómez Iglesias,1,Guardia Civil Gómez Iglesias,1,1840
Sala Acristalada Del Congreso,1,Sala Acristalada Del Congreso,1,1840
Gobierno,1,Gobierno,6,1703; 1785; 1791; 1801; 1803; 1840
DOR,1,DOR,1,1840
N/Rfa. C/SG/5.016/26.03.82,1,N/Rfa. C/SG/5.016/26.03.82,1,1840
26.03.82,1,26.03.82,1,1840
Capitanes de la Guardia Civil Abad Gutierrez,1,Capitanes de la Guardia Civil Abad Gutierrez,1,1840
Capitán Muñecas Aguilar,1,Capitán Muñecas Aguilar,1,1840
Capitán de Infantería Dusmet Garcia-Figueras,1,Capitán de Infantería Dusmet Garcia-Figueras,1,1840
Línea de mando natural,1,Línea de mando natural,1,1840
Sala (interrogatorio),1,Sala (interrogatorio),1,1839
Capitán De La Guardia Civil Muñecas,1,Capitán De La Guardia Civil Muñecas,1,1839
Militante De La Ort,1,Militante De La Ort,1,1839
Tolosa (guipúzcoa),1,Tolosa (guipúzcoa),1,1839
Csjm (consejo Supremo De Justicia Militar),1,Csjm (consejo Supremo De Justicia Militar),1,1839
El País (medio De Comunicación),1,El País (medio De Comunicación),1,1839
D16 (medio De Comunicación),1,D16 (medio De Comunicación),1,1839
Guardia Civil (institución),1,Guardia Civil (institución),2,1828; 1839
CESID (institución),1,CESID (institución),1,1839
Curso De Tráfico (del CESID),1,Curso De Tráfico (del CESID),1,1839
N/Ref. C/SG/5.120/29-03-82,1,N/Ref. C/SG/5.120/29-03-82,1,1839
29-03-82,1,29-03-82,1,1839
Capitán de la Guardia Civil Muñecas,1,Capitán de la Guardia Civil Muñecas,1,1839
D16,1,D16,1,1839
ORT,1,ORT,1,1839
Tolosa,1,Tolosa,1,1839
Teniente De La Guardia Civil D. Pedro Izquierdo Sanchez,1,Teniente De La Guardia Civil D. Pedro Izquierdo Sanchez,1,1838
Teniente Izquierdo Sanchez,1,Teniente Izquierdo Sanchez,1,1838
Sr. Ortiz Ortiz,1,Sr. Ortiz Ortiz,1,1838
Subsector De Tráfico,1,Subsector De Tráfico,3,1812; 1813; 1838
Alemania,1,Alemania,2,1707; 1838
Base Del Subsector,1,Base Del Subsector,1,1838
Despacho Del Coronel Manchado,1,Despacho Del Coronel Manchado,1,1838
Zarzuela,1,Zarzuela,4,1810; 1821; 1822; 1838
Primera Región Militar,1,Primera Región Militar,2,1721; 1838
Octava Región Militar,1,Octava Región Militar,1,1838
SG/5.169/30-03-82,1,SG/5.169/30-03-82,1,1838
DTOR,1,DTOR,12,1814; 1815; 1816; 1817; 1820; 1822; 1830; 1831; 1832; 1835; 1836; 1838
30.03.82,1,30.03.82,1,1838
Teniente de la Guardia Civil,1,Teniente de la Guardia Civil,1,1838
Izquierdo Sánchez,1,Izquierdo Sánchez,1,1838
Alvarez Fernández,1,Alvarez Fernández,1,1838
Núñez Ruano,1,Núñez Ruano,1,1838
Ramos Rueda,1,Ramos Rueda,1,1838
Prensa,1,Prensa,2,1696; 1837
Grupos Civiles,1,Grupos Civiles,1,1837
Colectividad Militar,1,Colectividad Militar,1,1837
No Se Mencionan Lugares Específicos En El Texto Proporcionado.,1,No Se Mencionan Lugares Específicos En El Texto Proporcionado.,2,1836; 1837
Islas Malvinas,1,Islas Malvinas,1,1837
Fe De Las Jons,1,Fe De Las Jons,1,1837
Primera Línea,1,Primera Línea,1,1837
Agrupación José Antonio,1,Agrupación José Antonio,1,1837
DTOR C/DI/5583,1,DTOR C/DI/5583,1,1837
05.04.82,1,05.04.82,1,1837
fase de declaraciones,1,fase de declaraciones,1,1837
vista oral,1,vista oral,1,1837
General Sáenz de Santa María,1,General Sáenz de Santa María,1,1837
colectividad militar,1,colectividad militar,1,1837
medios de comunicación,1,medios de comunicación,3,1786; 1804; 1837
procesados,1,procesados,4,1800; 1811; 1820; 1837
Congreso (edificio),1,Congreso (edificio),1,1836
Sala (del Lugar De Declaración),1,Sala (del Lugar De Declaración),1,1836
Cámara (del Congreso),1,Cámara (del Congreso),1,1836
C/DI/5584/06-04-82,1,C/DI/5584/06-04-82,1,1836
5 de Abril de 1982,1,5 de Abril de 1982,1,1836
17'40 horas,1,17'40 horas,1,1836
Sr. de Miguel,1,Sr. de Miguel,1,1836
término rehenes,1,término rehenes,1,1836
General Saenz de Santamaría,1,General Saenz de Santamaría,1,1836
Personalidades Políticas Y Financieras De Este Sector,1,Personalidades Políticas Y Financieras De Este Sector,1,1835
Grupos De Extrema-derecha,1,Grupos De Extrema-derecha,1,1835
Alianza Popular,1,Alianza Popular,1,1835
Fas (fuerzas Armadas),1,Fas (fuerzas Armadas),4,1785; 1801; 1820; 1835
FAS,1,FAS,7,1785; 1787; 1804; 1806; 1807; 1820; 1835
Sala de Justicia,1,Sala de Justicia,2,1710; 1835
elecciones andaluzas,1,elecciones andaluzas,1,1835
declaraciones finales de los procesados,1,declaraciones finales de los procesados,1,1835
sentencias,1,sentencias,2,1742; 1835
Tenientes Vecino,1,Tenientes Vecino,1,1834
Teniente Carricondo,1,Teniente Carricondo,1,1834
Capitán (no Nombrado),1,Capitán (no Nombrado),1,1834
Generales Armada,1,Generales Armada,1,1834
Generales Miláns Del Bosch,1,Generales Miláns Del Bosch,1,1834
Generales Aramburu,1,Generales Aramburu,1,1834
General Prieto,1,General Prieto,1,1834
Teniente - General Gutiérrez Mellado,1,Teniente - General Gutiérrez Mellado,1,1834
C/SG/5.338/01-04-82,1,C/SG/5.338/01-04-82,1,1834
01-04-82,1,01-04-82,1,1834
Tenientes Vecino y Carricondo,1,Tenientes Vecino y Carricondo,1,1834
Capitán,1,Capitán,2,1710; 1834
"Sres. Escaldell, Hermosilla, López Montero Y Sanz Arribas",1,"Sres. Escaldell, Hermosilla, López Montero Y Sanz Arribas",1,1833
Testigo Teniente General Gabeiras Montero (los Letrados Interrogándolo),1,Testigo Teniente General Gabeiras Montero (los Letrados Interrogándolo),1,1833
Presidentede Tribunal (a Teniente General Gabeiras Montero),1,Presidentede Tribunal (a Teniente General Gabeiras Montero),1,1833
"Sres. Escaldell, Hermosilla, López Montero Y Sanz Arribas (al Testigo)",1,"Sres. Escaldell, Hermosilla, López Montero Y Sanz Arribas (al Testigo)",1,1833
Sumario,1,Sumario,1,1833
Gobernadores Y Demás Autoridades Militares,1,Gobernadores Y Demás Autoridades Militares,1,1833
Eme,1,Eme,1,1833
Efe,1,Efe,1,1833
N/Rfa. C/SG/5.464/02-04-82,1,N/Rfa. C/SG/5.464/02-04-82,1,1833
DTO R,1,DTO R,1,1833
02-04-82,1,02-04-82,1,1833
letrados Sres. Escaldell,1,letrados Sres. Escaldell,1,1833
letrados Hermosilla,1,letrados Hermosilla,1,1833
letrados López Montero,1,letrados López Montero,1,1833
letrados Sanz Arribas,1,letrados Sanz Arribas,1,1833
El Presidente De La Sala,1,El Presidente De La Sala,2,1822; 1832
El Sr. Fiscal,1,El Sr. Fiscal,1,1832
Público Y Letrados Observadores,1,Público Y Letrados Observadores,1,1832
"Fiscal, Defensores Y Testigos",1,"Fiscal, Defensores Y Testigos",1,1832
Letrados Restantes,1,Letrados Restantes,1,1832
Cte. Cervera,1,Cte. Cervera,1,1832
Consejo Supremo De Justicia Militar (csjm),1,Consejo Supremo De Justicia Militar (csjm),1,1832
Sala (para La Sesión Pública),1,Sala (para La Sesión Pública),1,1832
Bripac,1,Bripac,1,1832
San Gregorio,1,San Gregorio,1,1832
Parador De Medinaceli,1,Parador De Medinaceli,1,1832
Santa María De Hurta,1,Santa María De Hurta,1,1832
Pardo,1,Pardo,1,1832
C/SG/5.622/06.04.82,1,C/SG/5.622/06.04.82,1,1832
06.04.82,1,06.04.82,1,1832
Letrado Sr. de Miguel,1,Letrado Sr. de Miguel,1,1832
Teniente General Sáez de Santamaría,1,Teniente General Sáez de Santamaría,1,1832
Generales Esquivias,1,Generales Esquivias,1,1831
Bonal,1,Bonal,1,1831
Da,1,Da,2,1792; 1831
Gral. Yusti Vazquez,1,Gral. Yusti Vazquez,1,1831
Cuartel General Del Ejército,1,Cuartel General Del Ejército,4,1822; 1826; 1830; 1831
E.m.e.,1,E.m.e.,1,1831
3ª (región),1,3ª (región),1,1831
Zaragoza,1,Zaragoza,1,1831
A.g.m.,1,A.g.m.,1,1831
N.Ref: C/SG/ 5688/ 07-04-82,1,N.Ref: C/SG/ 5688/ 07-04-82,1,1831
07.04.82,1,07.04.82,1,1831
Tcol. TEJERO,1,Tcol. TEJERO,1,1831
Sr. GARCIA CARRES,1,Sr. GARCIA CARRES,1,1831
Generales ESQUIVIAS,1,Generales ESQUIVIAS,1,1831
General PEREZ IÑIGO,1,General PEREZ IÑIGO,1,1831
Abogado Sr. López Monteró,1,Abogado Sr. López Monteró,1,1830
Dirección General De La Guardia Civil,1,Dirección General De La Guardia Civil,6,1718; 1721; 1756; 1767; 1795; 1830
Letrados,1,Letrados,2,1825; 1830
Testigos,1,Testigos,1,1830
Abogados Defensores,1,Abogados Defensores,1,1830
Sala (de La Vista Oral),1,Sala (de La Vista Oral),2,1825; 1830
La Guardia Civil (como Institución),1,La Guardia Civil (como Institución),1,1830
H. Palace,1,H. Palace,1,1830
Congreso (como Sede Donde Entró El Gral. Armada),1,Congreso (como Sede Donde Entró El Gral. Armada),1,1830
C/SG/5.577/05-04-82,1,C/SG/5.577/05-04-82,1,1830
05-04-82,1,05-04-82,1,1830
abogado Sr. López Monteró,1,abogado Sr. López Monteró,1,1830
Generales Rodríguez Ventosa,1,Generales Rodríguez Ventosa,1,1829
Ortiz Call,1,Ortiz Call,1,1829
Centeno,1,Centeno,1,1829
Prieto López,1,Prieto López,1,1829
General De Brigada D. Fernando Rodríguez Ventosa,1,General De Brigada D. Fernando Rodríguez Ventosa,1,1829
División De Operaciones Del E.m.e.,1,División De Operaciones Del E.m.e.,1,1829
Regimiento Villaviciosa 14,1,Regimiento Villaviciosa 14,1,1829
Despacho Del General Gabeiras,1,Despacho Del General Gabeiras,1,1829
N/Ref. C/SG/5723/13-04-82,1,N/Ref. C/SG/5723/13-04-82,1,1829
13-04-82,1,13-04-82,1,1829
General Ortiz Call,1,General Ortiz Call,1,1829
General Centeno,1,General Centeno,1,1829
General Prieto López,1,General Prieto López,1,1829
General de Brigada D. Fernando Rodríguez Ventosa,1,General de Brigada D. Fernando Rodríguez Ventosa,1,1829
Sr. López Griñó (letrado),1,Sr. López Griñó (letrado),1,1828
Policía Nacional (institución),1,Policía Nacional (institución),1,1828
Gobernador Civil (institución),1,Gobernador Civil (institución),1,1828
Agrupación Logística (institución),1,Agrupación Logística (institución),1,1828
"División (militar, Contexto De Mando)",1,"División (militar, Contexto De Mando)",1,1828
"E.m. (estado Mayor, Institución Militar)",1,"E.m. (estado Mayor, Institución Militar)",1,1828
Capitanía General (institución),1,Capitanía General (institución),1,1828
C/SG/5790/14-04-82,1,C/SG/5790/14-04-82,1,1828
14-04-82,1,14-04-82,1,1828
Coroneles Cervantes Rosell,1,Coroneles Cervantes Rosell,1,1828
Astilleros Miranda,1,Astilleros Miranda,1,1828
Gómez González,1,Gómez González,1,1828
Villanueva Retuerta,1,Villanueva Retuerta,1,1828
Vázquez García,1,Vázquez García,1,1828
Sr. Salvá,1,Sr. Salvá,1,1827
Jefe Coronel D. Fernando Sancho Garcia,1,Jefe Coronel D. Fernando Sancho Garcia,1,1827
Defensores De Los Tenientes,1,Defensores De Los Tenientes,1,1827
Audiencia/no Consta,1,Audiencia/no Consta,1,1827
Tenientes,1,Tenientes,1,1827
Secretaría Permanente Del Consejo Superior Del Ejército,1,Secretaría Permanente Del Consejo Superior Del Ejército,1,1827
Despacho Del Secretario Del Jeme,1,Despacho Del Secretario Del Jeme,1,1827
Despacho De Ayudantes Del Jeme,1,Despacho De Ayudantes Del Jeme,1,1827
Congreso (asalto Al Congreso),1,Congreso (asalto Al Congreso),1,1827
Oficina/ayudantes (despacho De Ayudantes),1,Oficina/ayudantes (despacho De Ayudantes),1,1827
Despacho De Ayudantes,1,Despacho De Ayudantes,1,1827
Estado Mayor De Capitanía - General,1,Estado Mayor De Capitanía - General,1,1827
SG/5948/16.04.82,1,SG/5948/16.04.82,1,1827
16.04.82,1,16.04.82,1,1827
TCOL D. Eduardo Fuentes y Gómez de Salazar,1,TCOL D. Eduardo Fuentes y Gómez de Salazar,1,1827
TCOL D. Arturo Garcia-Vaquero Salazar,1,TCOL D. Arturo Garcia-Vaquero Salazar,1,1827
TCOL D. Félix Porras Blanco,1,TCOL D. Félix Porras Blanco,1,1827
TCOL D. Emilio Bonelli Otero,1,TCOL D. Emilio Bonelli Otero,1,1827
TCOL Pardo de Santallana,1,TCOL Pardo de Santallana,1,1827
Comandante Bonell Esperanza,1,Comandante Bonell Esperanza,1,1826
Comandante Goróstegui,1,Comandante Goróstegui,1,1826
Capitán De La Guardia Civil Bobis,1,Capitán De La Guardia Civil Bobis,1,1826
Comandante De Intendencia De La Armada Nuñez Simón,1,Comandante De Intendencia De La Armada Nuñez Simón,1,1826
Capitán Tamarit,1,Capitán Tamarit,1,1826
Capitán De La G.c. Piris González,1,Capitán De La G.c. Piris González,1,1826
Despacho Del Segundo Jeme,1,Despacho Del Segundo Jeme,1,1826
Jefatura De Apoyo Logístico De La Armada,1,Jefatura De Apoyo Logístico De La Armada,1,1826
Estado Mayor De La Dac,1,Estado Mayor De La Dac,1,1826
Despacho Del General Juste,1,Despacho Del General Juste,1,1826
Curso De Circulación Y Tráfico,1,Curso De Circulación Y Tráfico,1,1826
El Imparcial,1,El Imparcial,1,1826
Sala De La Universidad De La República De Chile,1,Sala De La Universidad De La República De Chile,1,1826
N/Rf#:C/SG/6050/19-4-82,1,N/Rf#:C/SG/6050/19-4-82,1,1826
Sesión 19-4-82,1,Sesión 19-4-82,1,1826
Jefes del Ejército,1,Jefes del Ejército,1,1826
Jefes de la Guardia Civil,1,Jefes de la Guardia Civil,1,1826
Comandante Villa Pascual,1,Comandante Villa Pascual,1,1826
Comandante Ostos Mateo-Cañero,1,Comandante Ostos Mateo-Cañero,1,1826
Público Asistente,1,Público Asistente,1,1825
Señor Múgica Herzog,1,Señor Múgica Herzog,1,1825
Brigada Del Ejército González Lleras,1,Brigada Del Ejército González Lleras,1,1825
Cuartel General De La Dac,1,Cuartel General De La Dac,1,1825
Partido (alcalde De Lérida),1,Partido (alcalde De Lérida),1,1825
La Vanguardia,1,La Vanguardia,1,1825
Escuela Naval,1,Escuela Naval,1,1825
Capitán General De La Ii Rm,1,Capitán General De La Ii Rm,1,1825
C/SG6087/20-04-82,1,C/SG6087/20-04-82,1,1825
20-04-82,1,20-04-82,1,1825
testigo paisano señor Múgica Herzog,1,testigo paisano señor Múgica Herzog,1,1825
